symbol,shares
BKEP,688127
BKEPP,277877
BKH,711397
BKI,2048358
BKK,86931
BKN,18864
BKNG,2042800
BKNG22,0
BKNG22A,0
BKNG24,0
BKNG27,0
BKR,9511652
BKSC,52194
BKT,173830
BKU,1233818
BKYI,104534
BL,2694908
BLBD,748336
BLCM,4237078
BLCN,38761
BLD,641716
BLDP,6825498
BLDR,7722895
BLE,23795
BLFS,814022
BLIN,469194
BLK,1049742
BLKB,2179678
BLL,6186674
BLMN,7108529
BLNK,646382
BLNKW,217813
BLPH,4149231
BLRX,1697304
BLU,741583
BLUE,9689307
BLW,86183
BLX,111881
BMA,1688065
BMCH,2374324
BME,23560
BMI,385760
BML$G,6564
BML$H,36131
BML$J,22920
BML$L,14784
BMLP,11963
BMO,1248459
BMRA,62384
BMRC,258142
BMRN,9422482
BMTC,477491
BMY,34861712
BMY.R,9293661
BND,9677549
BNDW,99690
BNDX,5523599
BNED,813317
BNFT,2872607
BNGO,11398257
BNGOW,355905
BNS,2084545
BNSO,17238
BNTC,87146
BNTCW,6903
BNTX,949039
BNY,24461
BOCH,166179
BOE,177287
BOH,456220
BOKF,1145085
BOKFL,44519
BOLD,13464923
BOMN,347954
BOOM,2208828
BOOT,1408106
BORR,73868
BOSC,50299
BOTJ,8501
BOTZ,2606568
BOX,2480925
BOXL,635426
BP,15790263
BPFH,4580490
BPMC,3595902
BPMP,561351
BPOP,4159716
BPOPM,20383
BPOPN,29059
BPR,8028085
BPRAP,203531
BPRN,121716
BPT,171516
BPTH,542777
BPY,4327134
BPYPO,193253
BPYPP,120569
BQH,20272
BR,1324718
BRBR,1204018
BRC,424617
BREW,1501312
BRFS,5651761
BRID,56208
BRK.A,0
BRK.B,7263396
BRKL,2774300
BRKR,3686537
BRKS,4637793
BRMK,2244590
BRO,4193863
BROG,674667
BROGR,1949990
BROGU,100
BROGW,1513395
BRP,4005159
BRPA,1310
BRPAR,56798
BRPAU,305
BRPAW,5094
BRPM,1023791
BRPM.U,56
BRPM.W,165548
BRQS,0
BRT,54530
BRX,4548573
BRY,6944287
BSA,2623
BSAC,1029456
BSAE,305
BSBE,67
BSBR,3071069
BSCE,17
BSCK,20196
BSCL,11181
BSCM,5846
BSCN,18060
BSCO,33715
BSCP,8181
BSCQ,1046
BSCR,1515
BSCS,47
BSCT,10
BSD,17625
BSDE,155
BSE,23314
BSET,373250
BSGM,418258
BSIG,989351
BSJK,26062
BSJL,28255
BSJM,5306
BSJN,2941
BSJO,23471
BSJP,1749
BSJQ,4721
BSJR,3981
BSL,47556
BSM,545169
BSML,6046
BSMM,12520
BSMN,6083
BSMO,1685
BSMP,3707
BSMQ,8202
BSMR,2474
BSMS,12427
BSMT,7610
BSMX,956253
BSQR,131087
BSRR,280545
BST,64159
BSTC,296504
BSTZ,156688
BSVN,93357
BSX,13595708
BTA,44182
BTAI,1319701
BTE,3220193
BTEC,13764
BTI,4500902
BTO,22734
BTT,44044
BTU,4357661
BTZ,662122
BUD,3322751
BUG,19045
BUI,34394
BURG,133998
BURL,1808010
BUSE,1112431
BV,326761
BVN,2787730
BVSN,114891
BVXV,187891
BVXVW,32459
BW,219541
BWA,3279229
BWAY,61302
BWB,559649
BWEN,148538
BWFG,79675
BWG,44888
BWMC,93642
BWMCU,8966
BWMCW,237584
BWXT,977018
BX,6960806
BXC,504052
BXG,87442
BXMT,1274001
BXMX,86665
BXP,1806066
BXP$B,1866
BXRX,632550
BXS,820770
BXS$A,162108
BY,135424
BYD,1856905
BYFC,30306
BYM,29906
BYND,25385829
BYSI,670447
BZH,587819
BZM,2130
BZUN,8377579
C,23830521
C$J,48846
C$K,66764
C$N,85740
C$S,27271
CAAP,816698
CAAS,1159723
CABA,1257835
CABO,56681
CAC,493163
CACC,938956
CACG,13600
CACI,267497
CADE,3130934
CAE,409563
CAF,61533
CAG,11947102
