symbol,shares
KOPN,2974855
KOS,16684952
KOSS,75693
KPTI,8180851
KR,16412647
KRA,472002
KRC,1552537
KREF,473813
KRG,1561072
KRKR,102633
KRMA,29048
KRMD,2523407
KRNT,1066291
KRNY,2866919
KRO,1214346
KRP,191271
KRTX,3475840
KRUS,431590
KRYS,1331965
KSM,24906
KSS,9312049
KSU,3222030
KSU$,16
KT,1156475
KTB,1142164
KTCC,50741
KTF,63522
KTH,585
KTN,4074
KTOS,5559931
KTOV,476167
KTOVW,147778
KTP,11321
KURA,3084787
KVHI,216236
KW,609595
KWR,286505
KXIN,501286
KYN,2059627
KYN$F,27983
KZIA,170947
KZR,824467
L,3380868
LAC,139579
LACQ,865555
LACQU,2248
LACQW,41722
LAD,420818
LADR,1053936
LAIX,744906
LAKE,84606
LAMR,2808719
LANC,783132
LAND,632748
LANDP,16146
LARK,69221
LASR,2077494
LATN,106800
LATNU,118276
LATNW,1000
LAUR,10037754
LAWS,140382
LAZ,1418026
LAZY,51653
LB,18027265
LBAI,928222
LBC,275560
LBRDA,730982
LBRDK,4846197
LBRT,1888499
LBTYA,11587093
LBTYB,29
LBTYK,17568767
LC,686973
LCA,73678
LCAHU,6514
LCAHW,100
LCI,1783981
LCII,506474
LCNB,141513
LCUT,241261
LDL,287409
LDOS,2200837
LDP,41073
LDRI,3324
LDSF,39621
LE,3058235
LEA,3097870
LEAF,52946
LECO,2674172
LEDS,108051
LEE,177842
LEG,3319241
LEGH,323302
LEGR,4686
LEJU,283756
LEN,8370618
LEN.B,138538
LEO,70263
LEVI,1900609
LEVL,88241
LFAC,7105
LFACU,3300
LFACW,100
LFC,551560
LFUS,869395
LFVN,496081
LGC,43652
LGC.U,1200
LGC.W,563489
LGF.A,3478857
LGF.B,2526963
LGI,115219
LGIH,2073353
LGND,2721294
LH,1532376
LHC,14576
LHC.U,0
LHC.W,3900
LHCG,1711265
LHX,2672810
LIFE,180977
LII,749175
LILA,1598382
LILAK,3887872
LIN,4396420
LINC,231000
LIND,937834
LINX,311659
LIQT,884926
LITB,275874
LITE,9582984
LIVE,34354
LIVKU,1343855
LIVN,2707043
LIVX,1093284
LJPC,6121208
LK,49629212
LKCO,1562432
LKFN,604761
LKQ,15388002
LKSD,800384
LL,2490577
LLIT,202625
LLNW,4737524
LLY,8292571
LM,1770600
LMAT,1053181
LMB,378716
LMBS,754532
LMFA,92516
LMFAW,18054
LMHA,13450
LMHB,16804
LMNL,131086
LMNR,321981
LMNX,2185961
LMPX,5088854
LMRK,369084
LMRKN,14699
LMRKO,60070
LMRKP,16019
LMST,35035
LMT,2129844
LN,91865
LNC,4323361
LND,5809
LNDC,642305
LNGR,12742
LNN,130728
LNT,13839614
LNTH,3162368
LOAC,11000
LOACR,60390
LOACU,0
LOACW,13374
LOAN,94901
LOB,1286334
LOCO,2829114
LOGC,396075
LOGI,798735
LOGM,7683811
LOMA,1062189
LONE,501575
LOOP,392339
LOPE,11306552
LOR,6622
LORL,543711
LOVE,3783613
LOW,6496839
LPCN,2895087
LPG,761678
LPI,12059744
LPL,1162809
LPLA,3797207
LPSN,4798698
LPT,4073384
LPTH,300024
LPTX,473799
LPX,3468674
LQDA,1233110
LQDT,827415
LRCX,11285794
LRGE,10518
LRN,446873
LSBK,7290
LSCC,7671165
LSI,886544
LSTR,2277732
LSXMA,4982590
LSXMB,4327
LSXMK,5988424
LTBR,168229
LTC,497532
LTHM,3218734
LTM,2846895
LTRPA,4708199
LTRPB,2980
LTRX,406721
LUB,32479
LULU,15867219
LUNA,936029
LUV,11575605
LVGO,5976161
LVHD,150568
LVS,8361230
LW,2443345
LWAY,124507
LX,10324909
LXP,2722894
LXP$C,138
LXRX,12114599
LXU,188396
LYB,5589458
LYFT,37118279
LYG,19673878
LYL,3862
LYTS,432022
LYV,6419590
LZB,613387
M,42617946
MA,5926852
MAA,1891368
MAA$I,113
MAC,5980462
MACK,256448
MAGS,163364
MAIN,356920
MAN,821311
MANH,3559424
MANT,1645941
MANU,147609
MAR,9590397
MARA,422555
MARK,1618849
MARPS,23304
MAS,6482384
MASI,2041949
MAT,20129133
MATW,1489555
MATX,326541
MAV,68419
MAXR,4133049
MAYS,2729
MBB,4509028
MBCN,33136
MBI,964744
MBII,1152879
MBIN,495546
MBINO,107368
MBINP,12472
MBIO,2035049
MBNKP,100242
MBOT,12107306
MBRX,1161890
MBSD,12624
MBT,6582675
MBUU,1040019
MBWM,309193
MC,827380
MCA,50639
MCB,63086
MCBC,378085
MCBS,1990609
MCC,144816
MCD,5117137
MCEF,3141
MCEP,578322
MCFT,1055451
MCHI,15205623
MCHP,14997051
MCHX,709722
MCI,12939
MCK,3207135
MCMJ,48395
MCMJU,171967
MCMJW,9155
MCN,85177
MCO,1716457
MCR,30427
MCRB,1366098
MCRI,445471
MCS,287806
MCV,2785
MCX,1020
MCY,417265
MD,2883722
MDB,8900127
MDC,1053762
MDCA,1542859
MDCO,14956976
MDGL,2045964
MDGS,61915
MDGSW,32
MDIV,106445
MDJH,10102
MDLA,2731180
MDLQ,8199
MDLX,4708
MDLY,35326
MDLZ,47433491
MDLZ21,0
MDLZ22,0
MDLZ23,0
MDLZ27,0
MDLZ35,0
MDLZ35A,0
MDLZ45,0
MDP,1579615
MDR,18719646
MDRR,56100
MDRX,17510238
MDT,7450153
MDU,2183353
MDWD,380141
MEC,93355
MED,816954
MEDP,1959858
MEET,8069750
MEI,563835
MEIP,4523361
MELI,2269977
MEN,66423
MEOH,1910214
MER$K,10030
MERC,1991687
MESA,3207227
MESO,143316
MET,12832810
MET$A,24443
MET$E,13278
METC,339120
MFA,7313931
MFA$B,13263
MFAC,36679
MFAC.U,800
MFAC.W,0
MFC,3753894
MFD,46565
MFG,337357
MFGP,1850159
MFIN,416341
MFINL,9584
MFL,100206
MFM,55670
MFNC,308453
MFO,258
MFSF,149742
MFT,73177
MFV,12711
MG,149743
MGA,1716627
MGEE,1027379
MGEN,2191103
MGF,90084
MGI,8964094
MGIC,141193
MGLN,1406853
MGM,9618303
MGNX,3904860
MGP,3993284
MGPI,959940
MGR,17370
MGRC,892791
MGTA,1500637
MGTX,1714905
MGU,27950
MGY,2417065
MGYR,2171
MH$A,9100
MH$C,16352
MH$D,8742
MHD,18624
MHE,4127
MHF,50104
MHI,34865
MHK,1557270
MHLA,5938
MHLD,623077
MHN,34177
MHNC,7492
MHO,577067
MIC,1049628
MICT,141481
MIDD,2821591
MIE,465946
MIK,34526642
MILN,59162
MIME,2116511
MIN,203815
MIND,217887
MINDP,25560
MINI,2289360
MIRM,4474326
MIST,47878
MITK,2595619
MITO,1391394
MITT,316893
MITT$A,400
MITT$B,11473
MITT$C,10963
MIXT,72614
MIY,38414
MJCO,118869
MKC,1490272
MKC.V,2768
MKD,1584382
MKGI,73224
MKL,53238
MKSI,3448080
MKTX,3161767
MLAB,283895
MLCO,11292451
MLHR,5843488
MLI,448199
MLM,1758306
MLND,619318
MLNT,2668178
MLNX,3312614
MLP,7054
MLR,114227
MLVF,66505
MMAC,91079
MMC,3818856
MMD,36331
MMI,337276
MMLP,1201119
MMM,6776112
MMP,2595310
MMS,725286
MMSI,6291522
MMT,63897
MMU,88183
MMYT,1541394
MN,46407
MNCL,676523
MNCLU,6003
MNCLW,241374
MNDO,137988
MNE,20799
MNK,15841649
MNKD,9322472
MNLO,702690
MNOV,1254248
MNP,20497
MNPR,945734
MNR,704663
MNR$C,25497
MNRL,1614889
MNRO,1692933
MNSB,103921
MNST,21227024
MNTA,10975183
MNTX,292671
MO,18365420
MOBL,7360409
MOD,659670
MODN,599073
MOFG,318962
MOG.A,242051
MOG.B,1042
MOGO,54307
MOGU,114873
MOH,1266658
MOHO,53370
MOMO,17713851
MOR,424991
MORF,412165
MORN,679723
MOS,12893410
MOSC,703875
MOSC.U,420
MOSC.W,318783
MOSY,358936
MOTS,532480
MOV,549066
MOXC,9344
MPA,14359
MPAA,1011228
MPB,76741
MPC,12350947
MPLX,6621254
MPV,4449
MPVD,448419
MPW,8937869
MPWR,2202985
MPX,40350
MQT,18950
MQY,35089
MR,857446
MRAM,405859
MRBK,53009
MRC,1050858
MRCC,1798935
MRCCL,27391
MRCY,3481140
MREO,2168288
MRIC,203280
MRIN,138162
MRK,13288812
MRKR,1669839
MRLN,164895
MRNA,18488741
MRNS,14075147
MRO,18281379
MRSN,1863488
MRTN,1645069
MRTX,3460948
MRUS,504928
MRVL,54825868
MS,24454830
MS$A,72965
MS$E,26627
MS$F,21143
MS$G,29642
MS$I,37912
MS$K,27628
MS$L,392838
MSA,308657
MSB,91402
MSBF,235977
MSBI,615701
MSC,4394
MSCI,1211592
MSD,29213
MSEX,600527
MSFT,168552432
MSFT21,0
MSFT28,0
MSFT33,0
MSG,468973
MSGN,1491265
MSI,3882346
MSM,1245318
MSON,668664
MSTR,676424
MSVB,43012
MT,8056093
MTB,1711305
MTBC,142178
MTBCP,45492
MTC,255640
MTCH,14327991
MTD,607839
MTDR,7202785
MTEM,2596975
MTEX,14730
MTFB,2136106
MTFBW,246532
MTG,4368425
MTH,1080016
MTL,176038
MTL$,19371
MTLS,709452
MTN,864703
MTOR,2942957
MTP,1892467
MTR,10866
MTRN,225001
MTRX,1584394
MTSC,1185350
MTSI,3771516
MTSL,523625
MTT,45348
MTW,633504
MTX,452619
MTZ,2078247
MU,120199219
MUA,42887
MUC,113308
MUDS,16325
MUDSU,109
MUDSW,21103
MUE,51984
MUFG,2254479
MUH,24611
MUI,64113
MUJ,22799
MUR,7339873
MUS,50577
MUSA,755705
MUX,7461659
MVBF,443010
MVC,13768
MVCD,7791
MVF,119126
MVIS,1534194
MVO,13146
MVT,44485
MWA,1445541
MWK,183577
MX,456092
MXE,4431
MXF,44560
MXIM,14687797
MXL,642671
MYC,43815
MYD,57500
MYE,325768
MYF,33315
MYFW,42650
MYGN,6832261
MYI,46023
MYJ,57686
MYL,40471735
MYN,26314
MYOK,2655131
MYOS,62643
MYOV,2844164
MYRG,984116
MYSZ,424988
MYT,595867
MZA,15316
NAC,124614
NAD,240713
NAII,85191
NAKD,169741017
NAN,50772
NAOV,16131
NAT,7447050
NATH,112584
NATI,3735082
NATR,124076
NAV,973185
NAV$D,100
NAVI,13731946
NAZ,16365
NBB,19675
NBEV,6579568
NBHC,318871
NBIX,7239365
NBL,13211229
NBLX,971088
NBN,234022
NBR,14316263
NBR$A,35039
NBRV,4760761
NBSE,690357
NBTB,1784216
NC,24384
NCA,39146
NCB,5507
NCBS,471097
NCLH,3650178
NCMI,2883335
NCNA,235301
NCR,1568024
NCSM,228388
NCTY,172023
NCV,252353
NCV$A,330
NCZ,125413
NCZ$A,18
NDAQ,5566708
NDAQ21,0
NDAQ23,0
NDAQ29,0
NDLS,2099233
NDP,196879
NDRA,695485
NDRAW,46330
NDSN,2716662
NE,8794740
NEA,351589
NEBU,603526
NEBUU,5474
NEBUW,325846
NEE,4132529
NEE$I,11221
NEE$J,11840
NEE$K,11284
NEE$N,26544
NEE$O,65532
NEM,14881495
NEO,5384644
NEOG,1729347
NEON,141147
NEOS,603099
NEP,564918
NEPH,72334
NEPT,2334241
NERV,3584414
NESR,1697500
NESRW,316720
NET,1900470
NETE,136697
NEU,97381
NEV,46843
NEW,499064
NEWA,73162
NEWR,2255615
NEWT,1568037
NEWTI,7248
NEWTL,14645
NEX,3231719
NEXA,169364
NEXT,260220
NFBK,1517750
NFC,39518
NFC.U,261
NFC.W,60101
NFE,618138
NFG,1283419
NFH,41652
NFH.W,44800
NFIN,150705
NFINU,12014
NFINW,184260
NFJ,285674
NFLX,35253785
NFTY,1082
NGG,1807195
NGHC,2015058
NGHCN,77523
NGHCO,60673
NGHCP,6868
NGHCZ,38083
NGL,1613168
NGL$B,37959
NGL$C,5271
NGLS$A,7974
NGM,4015003
NGS,76824
NGVC,139973
NGVT,472904
NH,943463
NHA,14387
NHF,252642
NHI,508919
NHLD,60081
NHLDW,48174
NHTC,275455
NI,7748501
NI$B,25795
NICE,1314885
NICK,74616
NID,17970
NIE,25867
NIHD,11333839
NIM,22137
NINE,322500
NIO,106780462
NIQ,25146
NIU,970499
NJR,1405336
NJV,4123
NK,6386439
NKE,13864854
NKG,11614
NKSH,96553
NKTR,14460079
NKX,61066
NL,18869
NLNK,8942003
NLOK,57554407
NLS,791165
NLSN,9500419
NLTX,5482143
NLY,20617193
NLY$D,19341
NLY$F,48492
NLY$G,20812
NLY$I,18763
NM,95037
NM$G,1113
NM$H,2351
NMCI,688902
NMCO,50720
NMFC,980621
NMFX,3031
NMI,13260
NMIH,4697100
NMK$B,0
NMK$C,0
NMM,197414
NMR,152697
NMRD,146983
NMRK,5170009
NMS,5147
NMT,5860
NMY,32758
NMZ,336566
NNA,253568
NNBR,2167655
NNDM,93227
NNI,217338
NNN,2370317
NNN$F,5230
NNY,15825
NOA,95320
NOAH,510937
NOC,2822765
NODK,92356
NOK,39966134
NOM,2242
NOMD,1441837
NOV,8349226
NOVA,236242
NOVN,314165
NOVT,1148510
NOW,4504242
NP,169882
NPA,51544
NPAUU,31239
NPAWW,58100
NPK,99293
NPN,669
NPO,255432
NPTN,1170293
NPV,16547
NQP,20539
NR,774000
NRBO,5853
NRC,309371
NRG,7395660
NRGX,734708
NRIM,118118
NRK,58819
NRP,48678
NRT,33909
NRUC,7928
NRZ,6042091
NRZ$A,8971
NRZ$B,66613
NS,1865901
NS$A,7709
NS$B,98545
NS$C,7048
NSA,783233
NSA$A,5009
NSC,5573089
NSCO,92539
NSCO.W,17212
NSEC,21786
NSIT,2154900
NSL,304209
NSP,1545783
NSS,9838
NSSC,697368
NSTG,1996917
NSYS,141885
NTAP,17120949
NTB,173123
NTCT,4116230
NTEC,2552239
NTES,4635841
NTG,1989015
NTGN,1289251
NTGR,2529837
NTIC,85138
NTLA,4840327
NTNX,19432580
NTP,33072
NTR,2852210
NTRA,6930216
NTRP,1164635
NTRS,8757223
NTRSO,957910
NTRSP,410127
NTUS,1463761
NTWK,165090
NTX,18366
NTZ,6698
NUAN,14297789
NUE,4472813
NUM,23291
NUO,16287
NURO,1231090
NUROW,1465
NUS,670691
NUV,206890
NUVA,2851042
NUW,42109
NVAX,5460274
NVCN,4657159
NVCR,5659483
NVDA,42927346
NVEC,186487
NVEE,1264016
NVFY,269139
NVG,210900
NVGS,133784
NVIV,6791289
NVMI,621641
NVO,3212499
NVR,60869
NVRO,800302
NVS,5475962
NVST,14482342
NVST.V,2644502
NVT,2150433
NVTA,2622579
NVUS,648368
NWBI,5620304
NWE,419718
NWFL,63521
NWGI,0
NWHM,75451
NWL,23127534
NWLI,125690
NWN,300944
NWPX,495706
NWS,5225292
NWSA,18583297
NX,616418
NXC,8923
NXGN,4243177
NXJ,49029
NXN,2889
NXP,21261
NXPI,17649195
NXQ,27017
NXR,12150
NXRT,387974
NXST,2967942
NXTC,3322006
NXTD,441114
NXTG,107259
NYCB,7563709
NYCB$A,17553
NYCB$U,1363
NYMT,22782756
NYMTM,306178
NYMTN,132289
NYMTO,42824
NYMTP,17837
NYMX,393179
NYT,2368364
NYV,4296
NZF,105559
O,4742792
OAC,25912
OAC.U,400
OAC.W,0
OAK$A,8562
OAK$B,9061
OAS,30069500
OBAS,3095
OBCI,16003
OBE,144095
OBLN,1038762
OBNK,392620
OBSV,8965636
OC,2603895
OCC,27493
OCCI,103987
OCCIP,4585
OCFC,2041237
OCFT,587802
OCGN,31841098
OCN,244958
OCSI,300165
OCSL,2418270
OCSLL,12529
OCUL,3799733
ODC,14428
ODFL,11285096
ODP,46638375
ODT,782675
OEC,588338
OESX,1098152
OFC,1439113
OFED,14002
OFG,436270
OFG$A,206
OFG$B,717
OFG$D,500
OFIX,1179640
OFLX,243012
OFS,287070
OFSSI,26752
OFSSL,17730
OFSSZ,16728
OGE,2570241
OGI,7523840
OGS,842860
OHAI,196899
OHI,4270155
OI,5202689
OIA,41499
OIBR.C,8448191
OII,2920769
OIIM,222292
OIS,1296901
OKE,4698136
OKTA,10620076
OLD,32124
OLED,3435557
OLLI,10888381
OLN,4475949
OLP,46802
OMAB,469136
OMC,3346706
OMCL,1750509
OMER,3351607
OMEX,86023
OMF,1128119
OMI,3500223
OMN,204532
OMP,282182
ON,22906595
ONB,10745070
ONCE,1993276
ONCS,523018
ONCT,137405
ONCY,7811056
ONDK,351648
ONE,226168
ONEQ,127200
ONTO,428805
ONTX,132705121
ONTXW,1572428
ONVO,3028136
OOMA,237712
OPB,1458614
OPBK,176819
OPES,1356
OPESU,0
OPESW,36758
OPGN,1746243
OPGNW,262
OPHC,2182
OPI,2504322
OPINI,312363
OPK,25913717
OPNT,80097
OPOF,36894
OPP,147072
OPP.R,56934
OPRA,1477035
OPRT,1482181
OPRX,773937
OPTN,2260911
OPTT,782408
OPY,53866
OR,1482509
ORA,307878
ORAN,1753080
ORBC,3361242
ORC,626643
ORCC,223195
ORCL,25534443
ORG,4695
ORGO,931116
ORGS,563914
ORI,3765059
ORLY,3720211
ORMP,1932877
ORN,167142
ORRF,179753
ORSN,1008
ORSNR,20100
ORSNU,8983
ORSNW,2502
ORTX,2188081
OSB,282477
OSBC,513467
OSBCP,18189
OSG,402469
OSIS,1039636
OSK,1473522
OSLE,824
OSMT,2378218
OSN,81687
OSPN,2317030
OSS,204748
OSTK,5115560
OSUR,3965560
OSW,3584157
OTEL,6199
OTEX,2661863
OTIC,1031267
OTLK,4841505
OTLKW,67902
OTTR,1155380
OTTW,15600
OUT,1938453
OVBC,59430
OVID,4203088
OVLY,85530
OXBR,34055
OXBRW,188042
OXFD,632306
OXLC,4111291
OXLCM,16906
OXLCO,14806
OXM,269238
OXSQ,2870286
OXSQL,10746
OXSQZ,21347
OXY,19194899
OYST,1136523
OZK,5722105
PAA,10458405
PAAC,142399
PAACR,154073
PAACU,24108
PAACW,218573
PAAS,15342711
PAC,213051
PACB,8435588
PACD,175993
PACK,209058
PACK.W,94051
PACQ,577659
PACQU,2413
PACQW,1681175
PACW,6030908
PAG,817147
PAGP,5419265
PAGS,9766989
PAHC,1286927
PAI,9110
PAM,1681466
PANL,240111
PANW,2823152
PAR,355382
PARR,458533
PATI,40900
PATK,1491113
PAVM,1875636
PAVMW,4107
PAVMZ,227521
PAYC,1282132
PAYS,3166510
PAYX,13754900
PB,1469383
PBA,1648400
PBB,7173
PBBI,38007
PBC,8070
PBCT,22018788
PBCTP,76769
PBF,4026714
PBFS,251299
PBFX,200312
PBH,684517
PBHC,22097
PBI,5920678
PBI$B,23973
PBIP,81329
PBPB,1544940
PBR,36430284
PBR.A,14655007
PBT,196416
PBTS,76472
PBY,3155
PBYI,12879008
PCAR,14088086
PCB,268947
PCF,48631
PCG,41662587
PCH,2845919
PCI,399405
PCK,19852
PCM,20372
PCN,68088
PCOM,162373
PCQ,42985
PCRX,4124174
PCSB,358867
PCTI,505454
PCTY,2757673
PCYG,197643
PCYO,232816
PD,3680245
PDBC,2842247
PDCE,9513187
PDCO,9670699
PDD,29892748
PDEV,1365
PDEX,76789
PDFS,1231810
PDI,131137
PDLB,85229
PDLI,9890353
PDM,1350372
PDP,254749
PDS,991358
PDSB,349175
PDT,29677
PE,14608608
PEAK,7679085
PEB,3009853
PEB$C,2482
PEB$D,1668
PEB$E,9658
PEB$F,4321
PEBK,43546
PEBO,547670
PECK,99367
PEG,7633938
PEGA,1645019
PEGI,5061135
PEI,2525715
PEI$B,7811
PEI$C,8057
PEI$D,13148
PEIX,2366987
PEN,994813
PENN,11052993
PEO,147866
PEP,35125174
PEP21A,0
PEP22A,0
PEP26,0
PEP27,0
PEP28,0
PEP31,0
PEP39,0
PER,198830
PERI,1199037
PESI,284167
PETQ,1869463
PETS,3195530
PETZ,90649
PEY,314694
PEZ,4339
PFBC,752558
PFBI,193242
PFD,31642
PFE,24434122
PFF,21617541
PFG,9229660
PFGC,1589295
PFH,2274
PFI,15641
PFIE,350624
PFIN,6249
PFIS,88032
PFL,81542
PFLT,886530
PFM,19031
PFMT,50340
PFN,141221
PFO,13348
PFPT,3807907
PFS,390820
PFSI,341727
PFSW,220412
PG,14827203
PGC,477952
PGJ,63945
PGNX,5759494
PGNY,6274008
PGP,45573
PGR,8290886
PGRE,3233748
PGTI,679462
PGZ,26520
PH,3202573
PHAS,3583066
PHAT,2193244
PHCF,61818
PHD,60157
PHG,1277423
PHI,192097
PHIO,4549062
PHIOW,4461
PHK,423607
PHM,9400337
PHO,174789
PHR,913470
PHT,98747
PHUN,1629437
PHUNW,23053
PHX,48663
PI,2857505
PIC,80276
PIC.U,53140
PIC.W,0
PICO,363426
PID,272771
PIE,104793
PIH,151315
PIHPP,6701
PII,2046637
PIM,75031
PINC,6631222
PINE,52436
PING,1169894
PINS,17867667
PIO,45854
PIR,223647
PIRS,3189446
PIXY,488919
PIY,13191
PIZ,34576
PJC,162458
PJH,20207
PJT,267638
PK,6221025
PKBK,177777
PKD,25318
PKE,122922
PKG,2185546
PKI,1360289
PKO,38057
PKOH,391922
PKW,132138
PKX,547449
PLAB,7229140
PLAN,5430251
PLAY,7037310
PLBC,54833
PLC,677
PLCE,10371139
PLD,7218760
PLIN,884907
PLL,23835
PLMR,1939077
PLNT,2558645
PLOW,148223
PLPC,75117
PLSE,317528
PLT,1955751
PLUG,55174870
PLUS,497601
PLW,51937
PLXP,122720
PLXS,1549893
PLYA,1456292
PM,7930834
PMBC,380285
PMD,106335
PME,106111
PMF,36410
PML,66265
PMM,78474
PMO,30395
PMOM,257
PMT,3343607
PMT$A,1910
PMT$B,3415
PMTS,296490
PMX,41420
PNBK,26029
PNC,6475124
PNC$P,51485
PNC$Q,15342
PNF,9498
PNFP,3263569
PNI,15782
PNM,911929
PNNT,4767915
PNNTG,47829
PNQI,86397
PNR,2059707
PNRG,20752
PNRL,2029903
PNTG,2086703
PNW,2280322
POAI,249615
PODD,4290396
POL,1173064
POLA,152326
POOL,1437723
POPE,16288
POR,1543511
POST,1237405
POTX,65545
POWI,1375109
POWL,987399
PPBI,3157460
PPC,5705869
PPG,2706776
PPH,152418
PPHI,700
PPIH,68323
PPL,11121446
PPR,697585
PPSI,33317
PPT,92573
PPX,14229
PQG,184710
PRA,450229
PRAA,2273382
PRAH,4745490
PRCP,83785
PRE$F,1350
PRE$G,3790
PRE$H,25353
PRE$I,7057
PRFT,2719245
PRFZ,137703
PRGO,2421524
PRGS,2229502
PRGX,260414
PRH,37034
PRI,440943
PRIF$A,901
PRIF$B,400
PRIF$C,1144
PRIF$D,1958
PRIF$E,800
PRIM,1340255
PRLB,340794
PRMW,1496307
PRN,9191
PRNB,2961729
PRO,613088
PROF,110183
PROS,253632
PROV,63990
PRPH,15046
PRPL,1873853
PRPO,1746677
PRQR,1978034
PRS,15558
PRSC,632683
PRSP,1368987
PRT,72916
PRTA,2035119
PRTH,194515
PRTK,7727228
PRTO,946600
PRTS,383924
PRTY,5154686
PRU,3982268
PRVB,4952622
PRVL,1101200
PS,8421453
PSA,2957527
PSA$A,27604
PSA$B,5655
PSA$C,4905
PSA$D,14510
PSA$E,11636
PSA$F,2707
PSA$G,2898
PSA$H,11430
PSA$I,28212
PSA$J,39812
PSA$K,32312
PSA$V,14837
PSA$W,18141
PSA$X,6721
PSB,168403
PSB$U,14514
PSB$V,3484
PSB$W,4505
PSB$X,4941
PSB$Y,3851
PSB$Z,77662
PSC,5700
PSCC,33075
PSCD,2594
PSCE,194347
PSCF,17721
PSCH,55674
PSCI,9780
PSCM,6874
PSCT,37786
PSCU,38696
PSDO,3044181
PSEC,9278898
PSET,18015
PSF,26132
PSL,46089
PSM,23
PSMT,1633637
PSN,422132
PSNL,3087708
PSO,457648
PSTG,6338544
PSTI,688085
PSTL,8487
PSTV,922839
PSTVZ,75990
PSV,65399
PSX,6328673
PSXP,1238306
PT,9313290
PTACU,155358
PTC,4704821
PTCT,4770895
PTE,1105926
PTEN,27544927
PTF,148893
PTGX,8712084
PTH,34756
PTI,42974949
PTLA,6559221
PTMN,721178
PTNR,25759
PTON,29488244
PTR,189511
PTSI,123919
PTVCA,44694
PTVCB,204608
PTY,190362
PUB,223114
PUI,147662
PUK,1204298
PUK$,11616
PUK$A,8020
PULM,658197
PUMP,3380259
PUYI,136459
PVAC,2028446
PVAL,722
PVBC,312581
PVG,2398922
PVH,2388782
PVL,60793
PVT,24710
PVT.U,250
PVT.W,57868
PVTL,867923
PWFL,612692
PWOD,81448
PWR,3155339
PXD,4477919
PXI,30996
PXLW,1535060
PXS,193283
PY,4612
PYN,10273
PYPL,47268741
PYS,2261
PYT,780
PYX,880757
PYZ,15337
PZC,19823
PZN,78173
PZZA,4157096
QABA,40849
QADA,545481
QADB,3416
QAT,94035
QBAK,18590
QCLN,72586
QCOM,62471522
QCRH,420116
QD,11352305
QDEL,1539203
QEP,11282716
QES,19391
QFIN,10083835
QGEN,9488259
QHC,644126
QIWI,3244354
QK,60205
QLYS,2788528
QNST,3043102
QQEW,121820
QQQ,96156067
QQQX,377619
QQXT,20178
QRHC,88195
QRTEA,31459791
QRTEB,26406
QRVO,11123110
QSR,3408548
QTEC,936566
QTNT,1580987
QTRH,405284
QTRX,983814
QTS,1065397
QTS$A,1106
QTS$B,4429
QTT,12338337
QTWO,871233
QUAD,967228
QUIK,2382278
QUMU,131556
QUOT,923296
QURE,4212064
QVCC,340752
QVCD,16043
QYLD,1157775
R,2372067
RA,229967
RACE,888411
RAD,22338346
RADA,834720
RAIL,1003845
RAMP,1083941
RAND,20522
RAPT,638619
RARE,4421383
RARX,3448676
RAVE,57096
RAVN,1364147
RBA,550382
RBB,394225
RBBN,3955014
RBC,536443
RBCAA,172545
RBCN,33198
RBKB,68058
RBNC,130590
RBS,3453173
RBZ,619663
RC,2033057
RCA,4123
RCB,129655
RCEL,2671844
RCI,765986
RCII,4905795
RCKT,3902988
RCKY,422081
RCL,4828688
RCM,7491371
RCMT,78034
RCON,296844
RCP,255
RCS,99882
RCUS,140386
RDCM,217706
RDFN,5026112
RDHL,1004527
RDI,387647
RDIB,14639
RDN,1862552
RDNT,2879898
RDS.A,7661700
RDS.B,5237566
RDUS,5340114
RDVT,503915
RDVY,503252
RDWR,1030594
RDY,425153
RE,561168
REAL,7482128
RECN,1231550
REDU,434887
REED,1404139
REFR,521890
REG,7851964
REGI,7948539
REGN,5784831
REKR,819025
RELL,187552
RELV,13362
RELX,649204
RENN,20449
REPH,2424870
REPL,1352706
RES,3866324
RESI,494182
RESN,716151
RETA,2332470
RETO,25969
REV,182135
REVG,696126
REX,125386
REXN,124065
REXR,1729182
REXR$A,551
REXR$B,9188
REXR$C,1717
REZI,9058700
RF,19419397
RF$A,18513
RF$B,19453
RF$C,17015
RFAP,2096
RFDI,29936
RFEM,40279
RFEU,3337
RFI,55215
RFIL,119774
RFL,50449
RFP,958017
RGA,686431
RGCO,95516
RGEN,4286219
RGLD,3642892
RGLS,1327183
RGNX,4280219
RGR,182736
RGS,688747
RGT,21003
RH,3696118
RHI,3014943
RHP,996269
RIBT,1436142
RICK,319104
RIG,39086268
RIGL,8190416
RILY,482660
RILYG,66220
RILYH,151540
RILYI,26987
RILYL,150169
RILYN,81820
RILYO,100661
RILYP,36054
RILYZ,113894
RING,487438
RIO,4561507
RIOT,1294825
RIV,42727
RIVE,82374
RJF,1609545
RKDA,1144654
RL,3109496
RLGY,5746436
RLH,344758
RLI,607931
RLJ,2716481
RLJ$A,24800
RLMD,1975810
RM,96683
RMAX,388112
RMBI,192231
RMBL,1059039
RMBS,4439860
RMCF,43227
RMD,1284141
RMED,185413
RMG,21559
RMG.U,200
RMG.W,10400
RMI,33187
RMM,118068
RMNI,351564
RMPL$,581
RMR,685474
RMT,124290
RMTI,2281745
RNDB,369592
RNDM,2302
RNDV,577
RNEM,3092
RNET,378385
RNG,2670109
RNGR,23916
RNLC,5864
RNMC,9444
